"","date","cpi","gcpi_annual","gcpi"
"1","2005-01-01",191.6,0.028448738593666,-0.0521648408972286
"2","2005-02-01",192.4,0.0305302624531334,0.417536534446761
"3","2005-03-01",193.1,0.0320684126135757,0.363825363825354
"4","2005-04-01",193.7,0.0336179295624333,0.310719834282747
"5","2005-05-01",193.6,0.0286928799149841,-0.0516262261228695
"6","2005-06-01",193.7,0.0254102699841185,0.0516528925619708
"7","2005-07-01",194.9,0.0306716023268112,0.619514713474456
"8","2005-08-01",196.1,0.0364693446088795,0.615700359158544
"9","2005-09-01",198.8,0.0474183350895681,1.37684854665987
"10","2005-10-01",199.1,0.0435010482180294,0.150905432595572
"11","2005-11-01",198.1,0.0333854981742305,-0.502260170768454
"12","2005-12-01",198.1,0.0333854981742305,0
"13","2006-01-01",199.3,0.0401878914405012,0.605754669358927
"14","2006-02-01",199.4,0.0363825363825363,0.0501756146512822
"15","2006-03-01",199.7,0.034179181771103,0.150451354062175
"16","2006-04-01",200.7,0.0361383582860093,0.500751126690036
"17","2006-05-01",201.3,0.0397727272727273,0.298953662182377
"18","2006-06-01",201.8,0.0418172431595252,0.24838549428714
"19","2006-07-01",202.9,0.0410466906105695,0.545094152626358
"20","2006-08-01",203.8,0.0392656807751148,0.443568260226712
"21","2006-09-01",202.8,0.0201207243460764,-0.490677134445539
"22","2006-10-01",201.9,0.014063284781517,-0.443786982248529
"23","2006-11-01",202,0.0196870267541647,0.0495294700346705
"24","2006-12-01",203.1,0.0252397778899545,0.544554455445545
"25","2007-01-01",203.437,0.0207576517812342,0.165928114229463
"26","2007-02-01",204.226,0.0242026078234703,0.387835054586927
"27","2007-03-01",205.288,0.0279819729594393,0.520012143409754
"28","2007-04-01",205.904,0.0259292476332835,0.300066248392494
"29","2007-05-01",206.755,0.0270988574267261,0.413299401662903
"30","2007-06-01",207.234,0.0269276511397423,0.231675171096235
"31","2007-07-01",207.603,0.0231789058649581,0.178059584817158
"32","2007-08-01",207.667,0.0189744847890088,0.0308280708853026
"33","2007-09-01",208.547,0.0283382642998027,0.423755339076504
